LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 9.0, 14860.0, 97200, 1.0, 13958.0, 1728, 15.0, 14879.0, 230400, -327.0, -1.0, 3072, -295.0, -1.0, 1728, 1076.0, 14943.0, 230415,
1, 9.0, 267825.0, 2073600, 1.0, 266918.0, 36864, 15.0, 267839.0, 4147200, -1627.0, 266104.0, 2073600, -3833.0, -1.0, 36864, 1076.0, 267967.0, 4147215,
2, 9.0, 130161.0, 903168, 1.0, 129958.0, 73728, 15.0, 130175.0, 1806336, -1627.0, 129252.0, 153442, -7370.0, 129957.0, 73728, 1196.0, 130431.0, 1806351,
3, 9.0, 260337.0, 1806336, 1.0, 260134.0, 147456, 15.0, 260351.0, 3612672, -1627.0, 259233.0, 1806336, -7370.0, 260131.0, 147456, 1196.0, 260863.0, 3612687,
4, 9.0, 152049.0, 663552, 1.0, 152006.0, 294912, 15.0, 152063.0, 1327104, -851.0, -1.0, 8192, -7370.0, 151999.0, 294912, 1886.0, 153087.0, 1327119,
5, 9.0, 304113.0, 1327104, 1.0, 304070.0, 589824, 15.0, 304127.0, 2654208, -1627.0, 291501.0, 275928, -7370.0, 303998.0, 589824, 1886.0, 305151.0, 2654223,
6, 9.0, 304113.0, 1327104, 1.0, 304070.0, 589824, 15.0, 304127.0, 2654208, -1627.0, 291501.0, 275928, -7370.0, 303998.0, 589824, 1886.0, 305151.0, 2654223,
7, 9.0, 1015793.0, 262144, 1.0, 1015785.0, 4194304, 15.0, 1015807.0, 524288, -426.0, -1.0, 4096, -7370.0, 999539.0, 4194304, 31759.0, 1016831.0, 524303,
8, 9.0, 3953.0, 1024, 1.0, 3945.0, 10240, 15.0, 3961.0, 1280, -131.0, -1.0, 1024, -1032.0, -1.0, 10240, 3967.0, 4046.0, 1280,
