Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv1,48,48,3,3,2,64,1,
Conv2,48,48,3,3,64,64,1,
Conv3,48,48,3,3,64,64,1,
Conv4,48,48,3,3,64,64,1,
Conv5,48,48,3,3,64,64,1,
Conv6,48,48,3,3,64,64,1,
Conv7,48,48,3,3,64,64,1,
Conv8,24,24,3,3,64,128,1,
Conv9,24,24,3,3,128,128,1,
Conv10,24,24,3,3,128,128,1,
Conv11,24,24,3,3,128,128,1,
Conv12,24,24,3,3,128,128,1,
Conv13,24,24,3,3,128,128,1,
Conv14,24,24,3,3,128,128,1,
Conv15,24,24,3,3,128,128,1,
Conv16,12,12,3,3,128,256,1,
Conv17,12,12,3,3,256,256,1,
Conv18,12,12,3,3,256,256,1,
Conv19,12,12,3,3,256,256,1,
Conv20,12,12,3,3,256,256,1,
Conv21,12,12,3,3,256,256,1,
Conv22,12,12,3,3,256,256,1,
Conv23,12,12,3,3,256,256,1,
Conv24,12,12,3,3,256,256,1,
Conv25,12,12,3,3,256,256,1,
Conv26,12,12,3,3,256,256,1,
Conv27,12,12,3,3,256,256,1,
Conv28,6,6,3,3,256,512,1,
Conv29,6,6,3,3,512,512,1,
Conv30,6,6,3,3,512,512,1,
Conv31,6,6,3,3,512,512,1,
Conv32,6,6,3,3,512,512,1,
Conv33,6,6,3,3,512,512,1,
FC1,1,1,1,1,512,101,1,
